year,province,area_name,working_address,city,district,department_code,position_code,department_system,department,sub_department,position_name,major_requirement,degree_requirement,employ_count,employ_count_desc,interview_ratio,remark,competition_ratio,system_ratio,department_ratio,enrollment_count
2020,上海,宝山区,上海市,上海市,,,2010109,人民法院,市高级人民法院,宝山区人民法院,司法行政人员,本科：会计学;财务管理；研究生：会计学;财政学；,本科及以上,1,1,,司法行政人员实行分类招录、分类管理，录用后不能转任法官助理 。同等条件下具有机关事业单位财务工作经验者优先。 【其他条件】本科及研究生阶段均为全日制教育，并取得相应的学历和学位证书；具有会计上岗证，有较熟练的计算机操作技能。要求有2年以上财务工作经历。,,,,
2020,上海,宝山区,上海市,上海市,,,2010508,其他,宝山区,区信访办,接访科一级科员,不限,本科及以上,1,1,,【其他条件】熟悉信访工作，具备扎实的法律知识和文字功底。,,,,
2020,上海,宝山区,上海市,上海市,,,2010509,党委宣传部,宝山区,区委宣传部,办公室一级科员,本科：中国语言文学类;新闻传播学类;公共管理类 ；研究生：中国语言文学类;新闻传播学类;公共管理类；,本科及以上,1,1,,【其他条件】具有较强的语言文字、组织协调能力，有相关工作经历者优先。,,,,
2020,上海,宝山区,上海市,上海市,,,2010510,其他,宝山区,区机管局,财务资产科一级科员,本科：管理学；,本科,1,1,,,,,,
2020,上海,宝山区,上海市,上海市,,,2010511,其他,宝山区,区发改委,产业发展科一级科员,研究生：经济学;管理学；,硕士研究生及以上,1,1,,【其他条件】具有较好的文字综合能力；具有邮轮行业工作经历、参与国家及省部级邮轮经济研究课题工作者优先。,,,,
2020,上海,宝山区,上海市,上海市,,,2010512,其他,宝山区,区商务委,商业发展科一级科员,本科：工商管理类；,本科,1,1,,【其他条件】具有相关工作经验者优先。,,,,
2020,上海,宝山区,上海市,上海市,,,2010513,其他,宝山区,区经委,投资促进科一级科员,研究生：应用经济学类；,硕士研究生及以上,1,1,,【其他条件】具有较高的计算机操作水平。,,,,
2020,上海,宝山区,上海市,上海市,,,2010514,其他,宝山区,区经委,产业推进科一级科员,本科：金融学类;经济与贸易类；研究生：应用经济学类；,本科及以上,1,1,,【其他条件】具有较高的计算机操作水平。,,,,
2020,上海,宝山区,上海市,上海市,,,2010515,其他,宝山区,区农委,乡村振兴发展科一级科员,本科：农学;汉语言文学;行政管理 ；,本科,1,1,,,,,,
2020,上海,宝山区,上海市,上海市,,,2010516,其他,宝山区,区卫健委,办公室一级科员,本科：公共事业管理；,本科,1,1,,【其他条件】具有公共卫生管理中级专业技术资格；具有公共卫生专业背景或5年以上基层卫生工作经验者优先。,,,,
2020,上海,宝山区,上海市,上海市,,,2010517,其他,宝山区,区建管委,工程建设科一级科员,本科：土木工程;建筑类；,本科,1,1,,【其他条件】具有较强的语言文字、组织协调和计算机应用能力；有城市规划、工程监理、预决算等相关工作经验者优先。,,,,
2020,上海,宝山区,上海市,上海市,,,2010518,其他,宝山区,区科委,高新技术产业化科科一级科员,研究生：生物医学工程类;材料科学与工程类;管理科学与工程类；,硕士研究生及以上,1,1,,【其他条件】具有较强的语言文字、组织协调；有相关工作经历者优先。,,,,
2020,上海,宝山区,上海市,上海市,,,2010519,统计局,宝山区,区统计局,综合社会统计科一级科员,研究生：工学;理学；,硕士研究生,1,1,,【其他条件】具备统计数据分析能力者优先。,,,,
2020,上海,宝山区,上海市,上海市,,,2010520,其他,宝山区,区人社局,人才开发科一级科员,本科：文学；,本科,1,1,,【其他条件】具有较强的语言文字、组织协调能力。,,,,
2020,上海,宝山区,上海市,上海市,,,2010521,民政局,宝山区,区民政局,社区建设科一级科员,研究生：法学;文学；,硕士研究生,1,1,,【其他条件】具有较强的语言文字、组织协调能力；具有相关工作经历者优先；中共党员优先。,,,,
