year,province,area_name,working_address,city,district,department_code,position_code,department_system,department,sub_department,position_name,major_requirement,degree_requirement,employ_count,employ_count_desc,interview_ratio,remark,competition_ratio,system_ratio,department_ratio,enrollment_count
2019,宁夏,固原市,,固原市,,,014024,公安厅,自治区公安厅,,彭阳县公安局警员一,法学类,大专及以上,1,1,,30周岁以下，限男性；面向固原市户籍或生源定向招考,,,,
2019,宁夏,固原市,,固原市,,,014025,公安厅,自治区公安厅,,彭阳县公安局警员二,中国语言文学类、新闻传播学类,大专及以上,2,2,,30周岁以下，限男性；面向固原市户籍或生源定向招考,,,,
2019,宁夏,固原市,,固原市,,,016023,人民法院,自治区高级人民法院,,西吉县人民法院会计,会计、会计学、财务会计、财会、财务管理、会计与统计核算,本科及以上,1,1,,面向固原市户籍或生源定向招考,,,,
2019,宁夏,固原市,,固原市,,,016024,人民法院,自治区高级人民法院,,西吉县人民法院文秘一,中国语言文学类、新闻传播学类,本科及以上,1,1,,面向固原市户籍或生源定向招考,,,,
2019,宁夏,固原市,,固原市,,,023001,其他,固原市,,共青团固原市委员会办公室科员,不限,本科及以上,1,1,,28周岁以下，面向服务期满2年且考核合格的“三项目人员”及“退役大学生士兵”定向招录,,,,
2019,宁夏,固原市,,固原市,,,023002,其他,固原市,,原州区卫生健康局综合办公室科员,计算机与信息管理、信息管理与信息系统、信息与计算机科学,本科及以上,1,1,,,,,,
2019,宁夏,固原市,,固原市,,,023003,其他,固原市,,原州区农业农村局科员,不限,本科及以上,1,1,,面向固原市户籍或生源定向招考,,,,
2019,宁夏,固原市,,固原市,,,023004,其他,固原市,,原州区教育体育局科员一,中国语言文学类,本科及以上,2,2,,,,,,
2019,宁夏,固原市,,固原市,,,023005,其他,固原市,,原州区教育体育局科员二,会计、会计学、财务会计、财务管理、审计、审计学,本科及以上,1,1,,面向原州区户籍或生源定向招考,,,,
2019,宁夏,固原市,,固原市,,,023006,其他,固原市,,原州区发展和改革局科员,会计、会计学、财务会计、财务管理、审计、审计学,大专及以上,1,1,,面向原州区户籍或生源定向招考,,,,
2019,宁夏,固原市,,固原市,,,023007,其他,固原市,,原州区黄铎堡镇党政办公室文秘,不限,大专及以上,1,1,,面向服务期满2年且考核合格的“三项目人员”及“退役大学生士兵”定向招录,,,,
