year,province,area_name,working_address,city,district,department_code,position_code,department_system,department,sub_department,position_name,major_requirement,degree_requirement,employ_count,employ_count_desc,interview_ratio,remark,competition_ratio,system_ratio,department_ratio,enrollment_count
2026,山东,博山区,山东 淄博市 博山区,淄博市,博山区,,13703003001000001,党委组织部,淄博市博山区委组织部,博山区纪委监委机关,纪检监察职位,本科：法学类；研究生：法学（0301）,本科及以上,1,1,,身体健康，能适应经常出差，建议男性报考。除符合公告规定的回避关系外，近亲属为本级或上一级纪检监察机关重点监督对象或在本级纪检监察机关工作的，也不得报考,,,,
2026,山东,博山区,山东 淄博市 博山区,淄博市,博山区,,13703003002000001,党委组织部,淄博市博山区委组织部,共青团博山区委,青年事务管理职位,本科：经济学（02），工商管理类；研究生：经济学（02），工商管理学一级学科,本科及以上,1,1,,,,,,
2026,山东,博山区,山东 淄博市 博山区,淄博市,博山区,,13703003003000001,党委组织部,淄博市博山区委组织部,博山区人民政府办公室,行政管理职位,本科：经济学（02），法学（03），文学（05），管理学（12）；研究生：经济学（02），法学（03），文学（05），管理学（12）,本科及以上,1,1,,,,,,
2026,山东,博山区,山东 淄博市 博山区,淄博市,博山区,,13703003004000001,党委组织部,淄博市博山区委组织部,博山区发展和改革局,经济管理职位,本科：经济学类，统计学类，管理科学与工程类；研究生：经济学（02），统计学、管理科学与工程一级学科,本科及以上,1,1,,,,,,
2026,山东,博山区,山东 淄博市 博山区,淄博市,博山区,,13703003005000001,党委组织部,淄博市博山区委组织部,博山区科学技术局,项目管理职位,本科：机械类，材料类；研究生：工学（08）,本科及以上,1,1,,,,,,
2026,山东,博山区,山东 淄博市 博山区,淄博市,博山区,,13703003006000001,党委组织部,淄博市博山区委组织部,博山区工业和信息化局,产业规划管理职位,本科：自动化类，机械类；研究生：控制科学与工程、机械工程一级学科,本科及以上,1,1,,,,,,
2026,山东,博山区,山东 淄博市 博山区,淄博市,博山区,,13703003007000001,党委组织部,淄博市博山区委组织部,博山区自然资源局,自然资源管理职位,本科：自然保护与环境生态类，林学类，公共管理类（土地资源管理、自然资源登记与管理专业）、；研究生：地理学、林学、测绘科学与技术一级学科，公共管理学一级学科（土地资源管理二级学科）、,本科及以上,1,1,,,,,,
2026,山东,博山区,山东 淄博市 博山区,淄博市,博山区,,13703003008000001,党委组织部,淄博市博山区委组织部,博山区住房和城乡建设局,工程管理职位,本科：土木类，建筑类，管理科学与工程类，公安技术类（消防工程专业）、；研究生：土木工程、建筑学、管理科学与工程一级学科,本科及以上,1,1,,,,,,
2026,山东,博山区,山东 淄博市 博山区,淄博市,博山区,,13703003009000001,党委组织部,淄博市博山区委组织部,博山区卫生健康局,卫生管理职位,本科：工商管理类，公共管理类（公共事业管理、行政管理专业）、；研究生：工商管理学、公共管理学一级学科,本科及以上,1,1,,,,,,
2026,山东,博山区,山东 淄博市 博山区,淄博市,博山区,,13703003010000001,党委组织部,淄博市博山区委组织部,博山区审计局,审计业务职位,本科：工商管理类（会计学、财务管理、审计学专业）；研究生：工商管理学一级学科（会计学、财务管理、财务学、审计学二级学科）,本科及以上,1,1,,该职位需承担一线审计任务，经常赴偏远山区、工程现场实地核查，需适应频繁中短期出差。建议男性报考,,,,
2026,山东,博山区,山东 淄博市 博山区,淄博市,博山区,,13703003011000001,党委组织部,淄博市博山区委组织部,博山区市场监督管理局,市场监管职位,本科：法学类（法学、知识产权、信用风险管理与法律防控专业），机械类（机械工程、机械设计制造及其自动化专业），食品科学与工程类（食品科学与工程、食品质量与安全专业），药学类（药学、药物制剂专业）；研究生：法学、机械工程、食品科学与工程、药学一级学科,本科及以上,1,1,,,,,,
2026,山东,博山区,山东 淄博市 博山区,淄博市,博山区,,13703003012000001,党委组织部,淄博市博山区委组织部,博山区综合行政执法大队,城市管理与执法职位,本科：法学类（法学专业），公共管理类（行政管理、城市管理专业）；研究生：法学、公共管理学一级学科,本科及以上,1,1,,,,,,
2026,山东,博山区,山东 淄博市 博山区,淄博市,博山区,,13703003013000001,党委组织部,淄博市博山区委组织部,博山区池上镇,行政管理职位A,专科：公共管理与服务大类，电子与信息大类，新闻传播大类，农林牧渔大类，旅游大类，水利大类，财经商贸大类；本科：不限；研究生：不限,专科及以上,1,1,,,,,,
2026,山东,博山区,山东 淄博市 博山区,淄博市,博山区,,13703003013000002,党委组织部,淄博市博山区委组织部,博山区池上镇,行政管理职位B,专科：公共管理与服务大类，电子与信息大类，新闻传播大类，农林牧渔大类，旅游大类，水利大类，财经商贸大类；本科：不限；研究生：不限,专科及以上,1,1,,,,,,
2026,山东,博山区,山东 淄博市 博山区,淄博市,博山区,,13703003014000001,党委组织部,淄博市博山区委组织部,博山区博山镇,行政管理职位A,不限,本科及以上,1,1,,,,,,
2026,山东,博山区,山东 淄博市 博山区,淄博市,博山区,,13703003014000002,党委组织部,淄博市博山区委组织部,博山区博山镇,行政管理职位B,不限,本科及以上,1,1,,,,,,
2026,山东,博山区,山东 淄博市 博山区,淄博市,博山区,,13703003015000001,党委组织部,淄博市博山区委组织部,博山区石马镇,行政管理职位,不限,本科及以上,1,1,,,,,,
2026,山东,博山区,山东 淄博市 博山区,淄博市,博山区,,13703003016000001,党委组织部,淄博市博山区委组织部,博山区白塔镇,行政管理职位,不限,专科及以上,1,1,,,,,,
2026,山东,博山区,山东 淄博市 博山区,淄博市,博山区,,13703003017000001,党委组织部,淄博市博山区委组织部,博山区域城镇,经济管理职位,本科：经济学（02），统计学类，计算机类；研究生：经济学（02），统计学、计算机科学与技术一级学科,本科及以上,1,1,,,,,,
2026,山东,博山区,山东 淄博市 博山区,淄博市,博山区,,13703003018000001,党委组织部,淄博市博山区委组织部,博山区城东街道,规划建设职位A,本科：土木类，建筑类，安全科学与工程类；研究生：土木工程、建筑学、安全科学与工程一级学科,本科及以上,1,1,,,,,,
2026,山东,博山区,山东 淄博市 博山区,淄博市,博山区,,13703003018000002,党委组织部,淄博市博山区委组织部,博山区城东街道,规划建设职位B,本科：土木类，建筑类，安全科学与工程类；研究生：土木工程、建筑学、安全科学与工程一级学科,本科及以上,1,1,,,,,,
2026,山东,博山区,山东 淄博市 博山区,淄博市,博山区,,13703003019000001,党委组织部,淄博市博山区委组织部,博山区城西街道,财务统计职位,本科：统计学类，工商管理类（会计学、财务管理、审计学专业）、；研究生：统计学一级学科，应用经济学一级学科（统计学二级学科）、，工商管理学一级学科（会计学、财务管理、财务学、审计学二级学科）、,本科及以上,1,1,,,,,,
2026,山东,博山区,山东 淄博市 博山区,淄博市,博山区,,13703012004000001,人民法院,淄博市中级人民法院,博山区人民法院,法官助理职位A,本科：法学专业；研究生：法学（0301），法律类,本科及以上,1,1,,通过国家统一法律职业资格考试，取得《法律职业资格证书》 (A证)资格；以研究生学历报考的，本科阶段应为普通高等学校毕业，并取得相应的学历、学位；其他要求详见2026年度山东省法院系统考试录用公务员简章,,,,
2026,山东,博山区,山东 淄博市 博山区,淄博市,博山区,,13703012004000002,人民法院,淄博市中级人民法院,博山区人民法院,法官助理职位B,本科：法学专业；研究生：法学（0301），法律类,本科及以上,1,1,,通过国家统一法律职业资格考试，取得《法律职业资格证书》 (A证)资格；以研究生学历报考的，本科阶段应为普通高等学校毕业，并取得相应的学历、学位；其他要求详见2026年度山东省法院系统考试录用公务员简章,,,,
