year,province,area_name,working_address,city,district,department_code,position_code,department_system,department,sub_department,position_name,major_requirement,degree_requirement,employ_count,employ_count_desc,interview_ratio,remark,competition_ratio,system_ratio,department_ratio,enrollment_count
2022,新疆,阿拉尔市,,阿拉尔市,,,656966002700010,司法局,兵团司法局,兵团阿拉尔强制隔离戒毒所,执法勤务类,中国语言文学类,本科及以上,1,1,,应届毕业生。符合人民警察录用条件,,14.0,14.0,13
2022,新疆,阿拉尔市,,阿拉尔市,,,656966002700011,司法局,兵团司法局,兵团阿拉尔强制隔离戒毒所,执法勤务类,计算机类,本科及以上,1,1,,应届毕业生。符合人民警察录用条件,,14.0,14.0,2
2022,新疆,阿拉尔市,,阿拉尔市,,,656966002700012,司法局,兵团司法局,兵团阿拉尔强制隔离戒毒所,执法勤务类,临床医学类,本科及以上,1,1,,符合人民警察录用条件,,14.0,14.0,5
2022,新疆,阿拉尔市,,阿拉尔市,,,656966002800006,监狱管理局,兵团监狱管理局,第一师阿拉尔监狱,执法勤务类,财务会计类,专科及以上,2,2,,应届毕业生。符合人民警察录用条件,,17.0,17.0,12
2022,新疆,阿拉尔市,,阿拉尔市,,,656966002800007,监狱管理局,兵团监狱管理局,第一师阿拉尔监狱,执法勤务类,临床医学类、中西医结合类,专科及以上,1,1,,应届毕业生。符合人民警察录用条件,,17.0,17.0,6
2022,新疆,阿拉尔市,,阿拉尔市,,,656966002800008,监狱管理局,兵团监狱管理局,第一师阿拉尔监狱,执法勤务类,不限,专科及以上,3,3,,定向招考在疆服务的四项目人员、兵团连队（村、社区）“两委”成员、退役士兵。符合人民警察录用条件,,17.0,17.0,139
2022,新疆,阿拉尔市,,阿拉尔市,,,656966002800012,监狱管理局,兵团监狱管理局,第一师科克库勒监狱,执法勤务类,不限,专科及以上,1,1,,定向招考在疆服务的四项目人员、兵团连队（村、社区）“两委”成员、退役士兵。符合人民警察录用条件,,17.0,17.0,28
2022,新疆,阿拉尔市,,阿拉尔市,,,656966002800013,监狱管理局,兵团监狱管理局,第一师科克库勒监狱,执法勤务类,不限,专科及以上,4,4,,应届毕业生。符合人民警察录用条件,,17.0,17.0,68
2022,新疆,阿拉尔市,,阿拉尔市,,,656966002800014,监狱管理局,兵团监狱管理局,第一师南口监狱,执法勤务类,不限,专科及以上,2,2,,符合人民警察录用条件,,17.0,17.0,462
2022,新疆,阿拉尔市,,阿拉尔市,,,656966002800015,监狱管理局,兵团监狱管理局,第一师南口监狱,执法勤务类,不限,专科及以上,4,4,,应届毕业生。符合人民警察录用条件,,17.0,17.0,77
2022,新疆,阿拉尔市,,阿拉尔市,,,656966002800016,监狱管理局,兵团监狱管理局,第一师南口监狱,执法勤务类,不限,专科及以上,1,1,,定向招考在疆服务的四项目人员、兵团连队（村、社区）“两委”成员、退役士兵。符合人民警察录用条件,,17.0,17.0,23
2022,新疆,阿拉尔市,,阿拉尔市,,,656966002800017,监狱管理局,兵团监狱管理局,第一师沙河监狱,执法勤务类,不限,专科及以上,1,1,,定向招考在疆服务的四项目人员、兵团连队（村、社区）“两委”成员、退役士兵。符合人民警察录用条件,,17.0,17.0,31
2022,新疆,阿拉尔市,,阿拉尔市,,,656966002800018,监狱管理局,兵团监狱管理局,第一师沙河监狱,执法勤务类,不限,专科及以上,1,1,,应届毕业生。符合人民警察录用条件,,17.0,17.0,19
2022,新疆,阿拉尔市,,阿拉尔市,,,656966002800019,监狱管理局,兵团监狱管理局,第一师沙河监狱,执法勤务类,不限,专科及以上,5,5,,应届毕业生。符合人民警察录用条件,,17.0,17.0,72
2022,新疆,阿拉尔市,,阿拉尔市,,,656966002800020,监狱管理局,兵团监狱管理局,第一师塔门监狱,执法勤务类,不限,专科及以上,1,1,,定向招考在疆服务的四项目人员、兵团连队（村、社区）“两委”成员、退役士兵。符合人民警察录用条件,,17.0,17.0,31
2022,新疆,阿拉尔市,,阿拉尔市,,,656966002800021,监狱管理局,兵团监狱管理局,第一师塔门监狱,执法勤务类,临床医学类,专科及以上,2,2,,符合人民警察录用条件,,17.0,17.0,15
2022,新疆,阿拉尔市,,阿拉尔市,,,656966002800022,监狱管理局,兵团监狱管理局,第一师塔门监狱,执法勤务类,计算机类,专科及以上,2,2,,应届毕业生。符合人民警察录用条件,,17.0,17.0,15
2022,新疆,阿拉尔市,,阿拉尔市,,,656966002800023,监狱管理局,兵团监狱管理局,第一师塔门监狱,执法勤务类,广播影视类,专科及以上,1,1,,应届毕业生。符合人民警察录用条件,,17.0,17.0,4
2022,新疆,阿拉尔市,,阿拉尔市,,,656966002900001,纪委监委,第一师阿拉尔市,第一师阿拉尔市纪委监委,综合管理类,不限,本科及以上,1,1,,定向招考在疆服务的四项目人员、兵团连队（村、社区）“两委”成员、退役士兵。,,,13.0,64
2022,新疆,阿拉尔市,,阿拉尔市,,,656966002900002,纪委监委,第一师阿拉尔市,第一师阿拉尔市纪委监委,综合管理类,法学类、中国语言文学类、工商管理类,本科及以上,3,3,,中共党员。,,,13.0,84
2022,新疆,阿拉尔市,,阿拉尔市,,,656966002900003,街道机关,第一师阿拉尔市,阿拉尔市青松路街道办事处,综合管理类,不限,本科及以上,1,1,,中共党员；定向招录本师市事业编制人员。,,,13.0,21
2022,新疆,阿拉尔市,,阿拉尔市,,,656966002900004,街道机关,第一师阿拉尔市,阿拉尔市青松路街道办事处,综合管理类,不限,本科及以上,1,1,,中共党员；定向招考在疆服务的四项目人员、兵团连队（村、社区）“两委”成员、退役士兵。,,,13.0,30
2022,新疆,阿拉尔市,,阿拉尔市,,,656966002900005,街道机关,第一师阿拉尔市,阿拉尔市幸福路街道办事处,综合管理类,不限,本科及以上,1,1,,定向招考在疆服务的四项目人员、兵团连队（村、社区）“两委”成员、退役士兵。,,,13.0,44
2022,新疆,阿拉尔市,,阿拉尔市,,,656966002900006,街道机关,第一师阿拉尔市,阿拉尔市金银川街道办事处,综合管理类,不限,本科及以上,1,1,,应届毕业生。,,,13.0,75
2022,新疆,阿拉尔市,,阿拉尔市,,,656966002900007,其他,第一师阿拉尔市,第一师阿拉尔市应急管理综合行政执法支队,行政执法类,化学类、化工与制药类,本科及以上,2,2,,应届毕业生。参公管理,,17.0,13.0,19
2022,新疆,阿拉尔市,,阿拉尔市,,,656966002900008,其他,第一师阿拉尔市,第一师阿拉尔市应急管理综合行政执法支队,行政执法类,机械类、电气类、矿业类、纺织类、轻工类、安全科学与工程类,本科及以上,3,3,,应届毕业生。参公管理,,17.0,13.0,25
2022,新疆,阿拉尔市,,阿拉尔市,,,656966002900009,其他,第一师阿拉尔市,第一师阿拉尔市应急管理综合行政执法支队,行政执法类,土木类,本科及以上,1,1,,应届毕业生。参公管理,,17.0,13.0,13
2022,新疆,阿拉尔市,,阿拉尔市,,,656966002900010,其他,第一师阿拉尔市,第一师阿拉尔市应急管理综合行政执法支队,行政执法类,法学类,本科及以上,2,2,,应届毕业生。参公管理,,17.0,13.0,13
2022,新疆,阿拉尔市,,阿拉尔市,,,656966002900011,其他,第一师阿拉尔市,第一师卫生健康综合行政执法大队,行政执法类,法学类,本科及以上,2,2,,应届毕业生。参公管理,,17.0,13.0,6
2022,新疆,阿拉尔市,,阿拉尔市,,,656966002900012,其他,第一师阿拉尔市,第一师卫生健康综合行政执法大队,行政执法类,医学类,本科及以上,1,1,,定向招录本师市事业编制人员。参公管理,,17.0,13.0,6
2022,新疆,阿拉尔市,,阿拉尔市,,,656966002900013,其他,第一师阿拉尔市,第一师卫生健康综合行政执法大队,行政执法类,不限,本科及以上,1,1,,应届毕业生。参公管理,,17.0,13.0,69
2022,新疆,阿拉尔市,,阿拉尔市,,,656966002900014,其他,第一师阿拉尔市,第一师阿拉尔市城市管理综合行政执法大队,行政执法类,不限,专科及以上,1,1,,参公管理,,17.0,13.0,641
2022,新疆,阿拉尔市,,阿拉尔市,,,656966002900015,其他,第一师阿拉尔市,第一师1团社保所,综合管理类,不限,专科及以上,1,1,,应届毕业生。参公管理,,17.0,13.0,61
2022,新疆,阿拉尔市,,阿拉尔市,,,656966002900016,其他,第一师阿拉尔市,第一师2团社保所,综合管理类,不限,专科及以上,1,1,,应届毕业生。参公管理,,17.0,13.0,48
2022,新疆,阿拉尔市,,阿拉尔市,,,656966002900017,其他,第一师阿拉尔市,第一师10团社保所,综合管理类,不限,专科及以上,1,1,,定向招考在疆服务的四项目人员、兵团连队（村、社区）“两委”成员、退役士兵。参公管理,,17.0,13.0,74
2022,新疆,阿拉尔市,,阿拉尔市,,,656966002900018,其他,第一师阿拉尔市,第一师2团经济发展办公室,综合管理类,不限,专科及以上,1,1,,定向招考在疆服务的四项目人员、兵团连队（村、社区）“两委”成员、退役士兵。,,17.0,13.0,64
2022,新疆,阿拉尔市,,阿拉尔市,,,656966002900019,其他,第一师阿拉尔市,第一师2团经济发展办公室,综合管理类,统计类、财政类、建筑工程类、水利工程与管理类、环境保护类,专科及以上,1,1,,应届毕业生。,,17.0,13.0,8
2022,新疆,阿拉尔市,,阿拉尔市,,,656966002900020,其他,第一师阿拉尔市,第一师3团社会管理综合治理办公室,综合管理类,不限,专科及以上,1,1,,,,17.0,13.0,405
