year,province,area_name,working_address,city,district,department_code,position_code,department_system,department,sub_department,position_name,major_requirement,degree_requirement,employ_count,employ_count_desc,interview_ratio,remark,competition_ratio,system_ratio,department_ratio,enrollment_count
2019,海南,白沙黎族自治县,,白沙黎族自治县,,0001034,01,人民法院,海南省高级人民法院,白沙黎族自治县人民法院,司法警察科员1,不限,本科及以上,1,1,,最低服务年限为5年（含试用期）,,,,
2019,海南,白沙黎族自治县,,白沙黎族自治县,,0001034,02,人民法院,海南省高级人民法院,白沙黎族自治县人民法院,司法警察科员2,不限,本科及以上,1,1,,最低服务年限为5年（含试用期）,,,,
2019,海南,白沙黎族自治县,,白沙黎族自治县,,0001034,03,人民法院,海南省高级人民法院,白沙黎族自治县人民法院,法官助理科员,"研究生：法学（0301）
。本科：法学类（0301）
。",本科及以上,1,1,,最低服务年限为5年（含试用期）,,,,
2019,海南,白沙黎族自治县,,白沙黎族自治县,,0002087,01,公安厅,海南省公安厅,白沙县公安局,执法勤务二级警长及以下1,不限,大专及以上,3,3,,最低服务年限为5年（含试用期）,,,,
2019,海南,白沙黎族自治县,,白沙黎族自治县,,0002087,02,公安厅,海南省公安厅,白沙县公安局,执法勤务二级警长及以下2,不限,大专及以上,2,2,,最低服务年限为5年（含试用期）,,,,
2019,海南,白沙黎族自治县,,白沙黎族自治县,,0002087,03,公安厅,海南省公安厅,白沙县公安局,执法勤务二级警长及以下3,不限,大专及以上,1,1,,最低服务年限为5年（含试用期）,,,,
2019,海南,白沙黎族自治县,,白沙黎族自治县,,0002087,04,公安厅,海南省公安厅,白沙县公安局,邦溪派出所执法勤务二级警长及以下,不限,大专及以上,1,1,,最低服务年限为5年（含试用期）,,,,
2019,海南,白沙黎族自治县,,白沙黎族自治县,,2801055,01,党委组织部,中共白沙黎族自治县委组织部,共青团白沙黎族自治县委员会,科员（定向）,不限,本科及以上,1,1,,最低服务年限为5年（含试用期）,,,,
2019,海南,白沙黎族自治县,,白沙黎族自治县,,2802164,01,党委组织部,中共白沙黎族自治县委组织部,白沙黎族自治县卫生和计划生育委员会,科员,研究生：医学（10）。本科：医学（10）。,本科及以上,1,1,,最低服务年限为5年（含试用期）,,,,
2019,海南,白沙黎族自治县,,白沙黎族自治县,,2802165,01,党委组织部,中共白沙黎族自治县委组织部,白沙黎族自治县牙叉镇人民政府,科员1,不限,大专及以上,1,1,,最低服务年限为5年（含试用期）,,,,
