year,province,area_name,working_address,city,district,department_code,position_code,department_system,department,sub_department,position_name,major_requirement,degree_requirement,employ_count,employ_count_desc,interview_ratio,remark,competition_ratio,system_ratio,department_ratio,enrollment_count
2019,西藏,阿里地区,,阿里地区,,,201910770,其他,阿里地区,,地区安全生产监督管理局安全生产执法监察支队,非煤矿山、危化或法律专业,本科及以上,1,1,,,,,,
2019,西藏,阿里地区,,阿里地区,,,201910771,其他,阿里地区,,地区行政公署办公室,会计专业,本科及以上,1,1,,,,,,
2019,西藏,阿里地区,,阿里地区,,,201910772,其他,阿里地区,,地区交通运输局,会计专业,本科及以上,1,1,,,,,,
2019,西藏,阿里地区,,阿里地区,,,201910773,其他,阿里地区,,地区交通综合执法局,会计专业,本科及以上,2,2,,,,,,
2019,西藏,阿里地区,,阿里地区,,,201910774,其他,阿里地区,,地区民族宗教事务局,民族学相关专业,本科及以上,1,1,,,,,,
2019,西藏,阿里地区,,阿里地区,,,201910775,其他,阿里地区,,地区审计局,文秘专业,本科及以上,1,1,,,,,,
2019,西藏,阿里地区,,阿里地区,,,201910776,其他,阿里地区,,地区审计局,会计或审计专业,本科及以上,1,1,,,,,,
2019,西藏,阿里地区,,阿里地区,,,201910777,其他,阿里地区,,地区住房和城乡建设局建设重点项目管理中心,项目管理专业,本科及以上,1,1,,,,,,
2019,西藏,阿里地区,,阿里地区,,,201910778,其他,阿里地区,,地区住房和城乡建设局住房资金管理中心,财会专业,大专及以上,1,1,,,,,,
2019,西藏,阿里地区,,阿里地区,,,201910779,其他,阿里地区,,地委政法委,文秘专业,本科及以上,1,1,,,,,,
2019,西藏,阿里地区,,阿里地区,,,201910780,其他,阿里地区,,地委政法委,法学专业,本科及以上,1,1,,,,,,
2019,西藏,阿里地区,,阿里地区,,,201910781,其他,阿里地区,,措勤县民族宗教事务局,民族学相关专业,本科及以上,1,1,,,,,,
2019,西藏,阿里地区,,阿里地区,,,201910782,其他,阿里地区,,措勤县民族宗教事务局,文秘专业,本科及以上,1,1,,,,,,
2019,西藏,阿里地区,,阿里地区,,,201910783,其他,阿里地区,,措勤县人社局医疗保险管理中心,计算机专业,本科及以上,1,1,,,,,,
2019,西藏,阿里地区,,阿里地区,,,201910784,其他,阿里地区,,措勤县人社局医疗保险管理中心,文秘专业,本科及以上,1,1,,,,,,
2019,西藏,阿里地区,,阿里地区,,,201910785,其他,阿里地区,,措勤县人社局新型农村社会养老保险管理中心,计算机专业,本科及以上,1,1,,,,,,
2019,西藏,阿里地区,,阿里地区,,,201910786,其他,阿里地区,,措勤县人社局新型农村社会养老保险管理中心,文秘专业,本科及以上,1,1,,,,,,
