year,province,area_name,working_address,city,district,department_code,position_code,department_system,department,sub_department,position_name,major_requirement,degree_requirement,employ_count,employ_count_desc,interview_ratio,remark,competition_ratio,system_ratio,department_ratio,enrollment_count
2023,青海,海东市,,海东市,,,211201001,其他,海东市,,海东市就业服务局一级主任科员及以下,汉语言与文秘类,本科及以上,1,1,,,,47.0,56.0,
2023,青海,海东市,,海东市,,,211201002,其他,海东市,,海东市中级人民法院一级主任科员及以下,汉语言与文秘类,本科及以上,3,3,,,,47.0,56.0,19
2023,青海,海东市,,海东市,,,211201003,其他,海东市,,海东市生态环境局一级主任科员及以下（1）,汉语言与文秘类、新闻传播类、公共管理类,本科及以上,1,1,,,,47.0,56.0,2
2023,青海,海东市,,海东市,,,211201004,其他,海东市,,海东市生态环境局一级主任科员及以下（2）,环境科学类,本科及以上,1,1,,,,47.0,56.0,3
2023,青海,海东市,,海东市,,,211201005,其他,海东市,,海东市生态环境局综合行政执法支队一级主任科员及以下（1）,汉语言与文秘类、新闻传播类、公共管理类,本科及以上,1,1,,,,47.0,56.0,3
2023,青海,海东市,,海东市,,,211201006,其他,海东市,,海东市生态环境局综合行政执法支队一级主任科员及以下（2）,法律类,本科及以上,2,2,,,,47.0,56.0,6
2023,青海,海东市,,海东市,,,211201007,其他,海东市,,海东市生态环境局综合行政执法支队一级主任科员及以下（3）,环境科学类,本科及以上,2,2,,,,47.0,56.0,8
2023,青海,海东市,,海东市,,,211201008,其他,海东市,,海东市住房和城乡建设局一级主任科员及以下,会计与审计类,本科及以上,1,1,,,,47.0,56.0,4
2023,青海,海东市,,海东市,,,211201009,其他,海东市,,海东市医疗保障经办服务中心一级主任科员及以下（1）,医学类、药学类,本科及以上,1,1,,,,47.0,56.0,15
2023,青海,海东市,,海东市,,,211201010,其他,海东市,,海东市医疗保障经办服务中心一级主任科员及以下（2）,计算机科学与技术类,本科及以上,1,1,,,,47.0,56.0,4
2023,青海,海东市,,海东市,,,211301011,其他,海东市,,乐都区纪委监委一级主任科员及以下（1）,公安类,大专及以上,1,1,,,,47.0,56.0,5
2023,青海,海东市,,海东市,,,211301012,其他,海东市,,乐都区纪委监委一级主任科员及以下（2）,汉语言与文秘类,大专及以上,1,1,,,,47.0,56.0,6
2023,青海,海东市,,海东市,,,211301013,其他,海东市,,乐都区委宣传部一级主任科员及以下,新闻传播类,大专及以上,1,1,,,,47.0,56.0,10
2023,青海,海东市,,海东市,,,211301014,其他,海东市,,乐都区人民政府办公室一级主任科员及以下,会计与审计类,大专及以上,1,1,,,,47.0,56.0,2
2023,青海,海东市,,海东市,,,211301015,其他,海东市,,乐都区人民检察院一级主任科员及以下,哲学、政治学和马克思主义理论类,本科及以上,1,1,,,,47.0,56.0,46
2023,青海,海东市,,海东市,,,211301016,其他,海东市,,乐都区财政局一级主任科员及以下,会计与审计类,大专及以上,1,1,,,,47.0,56.0,3
